ORB;SSIM;VGG16;GRADED
0.762376237623762;0.739084445713922;0.601345300674438;72
0.757894736842105;0.652588571810367;0.491634756326675;92
0.710526315789474;0.709609858512839;0.577256739139557;92
0.642857142857143;0.381175731204338;0.392715394496918;92
0.91025641025641;0.821069311476337;0.594584286212921;40
0.953703703703704;0.779727822129295;0.50813627243042;46
0.780952380952381;0.762232793382061;0.658591866493225;92
0.724137931034483;0.746845851929277;0.592464029788971;55
0.819277108433735;0.809799920609481;0.541598260402679;10
0.435897435897436;0.31148039362798;0.308961778879166;72
0.841584158415842;0.728119864993552;0.570509493350983;74
0.804878048780488;0.775994749139086;0.764566361904144;92
0.780487804878049;0.754409762827398;0.566234350204468;82
0.684782608695652;0.761364884157976;0.622986972332001;10
0.863636363636364;0.730249258576838;0.650597035884857;82
0.46875;0.512557193065459;0.426337748765945;92
0.463414634146341;0.375508486318931;0.431807070970535;23
0.728070175438597;0.745396060508597;0.612075626850128;92
0.0;0.878692267186314;0.463902354240417;5
0.813084112149533;0.790863688536436;0.66511458158493;66
0.740740740740741;0.599189218455362;0.505883514881134;56
0.785123966942149;0.553507031567571;0.501420140266418;73
0.839285714285714;0.734948451069797;0.58922153711319;62
0.885057471264368;0.795214976563022;0.613329231739044;80
0.91566265060241;0.756686547289532;0.525141298770905;46
0.0;0.878576820331611;0.468186885118484;10
0.697247706422018;0.36132527112331;0.355899065732956;73
0.752941176470588;0.699197172989844;0.552354454994202;92
0.807692307692308;0.749706417875358;0.681487202644348;92
0.844155844155844;0.781083288832703;0.738212943077087;81
0.878787878787879;0.736507670145113;0.589066743850708;92
0.790909090909091;0.706153995758547;0.541246771812439;56
0.698630136986301;0.7597580864104;0.674122273921967;82
0.808988764044944;0.785448177208746;0.698370575904846;92
0.640776699029126;0.651382678979988;0.541670858860016;90
0.897959183673469;0.727188253494929;0.573942899703979;46
0.834782608695652;0.70235139874222;0.58086234331131;92
0.912280701754386;0.731365614257777;0.553816318511963;62
0.627659574468085;0.738169972311061;0.654765129089355;44
0.752688172043011;0.623783607237217;0.55930769443512;92
0.747252747252747;0.756023241671703;0.544821739196777;92
0.731707317073171;0.749863748897858;0.701724827289581;54
0.868421052631579;0.783525016403939;0.599142789840698;92
0.663461538461538;0.706127013943642;0.604598999023437;74
0.732558139534884;0.765226829513727;0.673708915710449;90
0.615384615384615;0.655175355804033;0.431824177503586;91
0.473684210526316;0.723392017421739;0.596578598022461;92
0.762886597938144;0.802105516064773;0.642499625682831;63
0.89247311827957;0.700225166238836;0.589226126670837;82
0.621621621621622;0.63814877315681;0.431698679924011;92
0.770642201834862;0.760494152078705;0.665289580821991;82
0.862068965517241;0.752606467303671;0.653864204883575;80
0.649484536082474;0.758078821011202;0.666087210178375;80
0.559322033898305;0.753529657048319;0.585199177265167;92
0.80952380952381;0.712204022269671;0.59836757183075;92
0.88034188034188;0.79352944194918;0.628220796585083;59
0.772277227722772;0.783659539106624;0.517388463020325;73
0.70873786407767;0.683408856363437;0.584725499153137;92
0.862385321100917;0.797922935396984;0.635416865348816;92
0.834862385321101;0.713633027342452;0.663031399250031;64
0.647058823529412;0.70386854892536;0.600022614002228;92
0.590909090909091;0.681110227768504;0.604308545589447;82
0.814159292035398;0.746230323459381;0.638999402523041;70
0.731958762886598;0.729834650098322;0.545651137828827;91
0.722689075630252;0.71714082591313;0.493273109197617;91
0.824175824175824;0.716893446043029;0.597066640853882;100
0.896907216494845;0.714636303979344;0.635399460792542;82
0.716666666666667;0.697013459499928;0.564575731754303;36
0.847619047619048;0.712213627953889;0.575690388679504;92
0.707547169811321;0.699696019707907;0.475161492824554;82
0.877551020408163;0.661926595697042;0.541834115982056;77
0.693069306930693;0.748139705882396;0.608423411846161;82
0.806451612903226;0.744872017435968;0.584493398666382;92
0.89010989010989;0.735688943567205;0.62964802980423;92
0.489583333333333;0.746019883392861;0.402823328971863;50
0.901960784313726;0.725997111176814;0.681383430957794;82
0.764705882352941;0.723928213547805;0.538224995136261;80
0.646464646464647;0.748258785887374;0.539815723896027;30
0.733333333333333;0.729116802772548;0.61900532245636;92
0.656565656565657;0.717133737620484;0.613691389560699;80
0.79047619047619;0.693854104648428;0.650687873363495;92
0.635294117647059;0.699603340791223;0.601425528526306;100
0.517647058823529;0.735347500834492;0.568265795707703;92
0.838383838383838;0.706386052550601;0.608230948448181;92
0.924731182795699;0.7010716878775;0.649954497814178;82
0.868686868686869;0.694945272452226;0.529156982898712;92
0.703703703703704;0.761896871785281;0.648641347885132;82
0.950980392156863;0.768972513598631;0.6043701171875;52
0.806451612903226;0.665145236281191;0.621158719062805;92
0.793103448275862;0.663699862635558;0.525466620922089;71
0.708333333333333;0.745389479600292;0.601824700832367;92
0.450450450450451;0.447472483766467;0.391401141881943;77
0.701030927835051;0.714291464032125;0.584635019302368;92
0.93;0.754109547653755;0.538543343544006;42
0.538461538461538;0.562906472300554;0.465607434511185;92
0.780952380952381;0.78097979799452;0.65899795293808;77
0.77027027027027;0.675637507872522;0.684263288974762;92
0.7;0.730858489443089;0.486749112606049;92
0.846846846846847;0.727905003618631;0.656925618648529;92
0.620689655172414;0.594824598006256;0.650681853294373;92
